,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.5061133873432363
6,1.4411243166666463
7,3.3940619528067506
8,5.741970126215972
9,7.572848065031721
10,8.76071384784484
11,9.415491926402847
12,9.374454204435274
13,8.620903583963338
14,7.445236692444761
15,5.6289806572328684
16,3.165882870505546
17,1.3267300086072524
18,0.4676517757803092
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,30.0
25,0.0
26,0.0
27,30.0
28,30.0
29,0.0
30,0.0
31,30.0
32,30.0
33,0.0
34,30.0
35,30.0
36,30.0
37,30.0
38,30.0
39,30.0
40,30.0
41,0.0
42,30.0
43,30.0
44,30.0
45,30.0
46,30.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,10.0
55,0.0
56,0.0
57,10.0
58,0.0
59,0.0
60,10.0
61,0.0
62,0.0
63,10.0
64,0.0
65,10.0
66,10.0
67,0.0
68,0.0
69,10.0
70,10.0
71,10.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.25305669367161815
78,0.7205621583331305
79,1.697030976403374
80,2.870985063107999
81,3.786424032515825
82,4.380356923922333
83,4.707745963201422
84,4.687227102217613
85,4.310451791981723
86,3.7226183462221663
87,2.8144903286162077
88,1.5829414352527633
89,0.6633650043035005
90,0.2338258878902279
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.1265283468357674
102,0.36028107916636043
103,0.8485154882016807
104,1.4354925315539742
105,1.8932120162578732
106,2.190178461961218
107,2.3538729816005954
108,2.343613551108819
109,2.155225895990852
110,1.8613091731111548
111,1.4072451643081936
112,0.7914707176264419
113,0.3316825021518065
114,0.11691294394509028
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.455502048608964
126,1.2970118849999406
127,3.054655757526094
128,5.167773113594353
129,6.815563258528548
130,7.8846424630602305
131,8.473942733762426
132,8.437008783991535
133,7.758813225567159
134,6.700713023200211
135,5.066082591509579
136,2.849294583455198
137,1.1940570077464643
138,0.4208865982024096
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.07591700810149278
150,0.2161686474999916
151,0.5091092929208715
152,0.8612955189323939
153,1.1359272097547322
154,1.3141070771767105
155,1.412323788960379
156,1.4061681306652851
157,1.2931355375944982
158,1.1167855038665389
159,0.844347098584925
160,0.47488243057580254
161,0.19900950129104653
162,0.07014776636706105
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,7.971401316808624e-14
174,2.375877272697835e-14
175,3.952393967665557e-14
176,3.8191672047105385e-14
177,2.930988785010413e-14
178,3.019806626980426e-14
179,1.2434497875801753e-14
180,5.329070518200751e-15
181,1.8118839761882555e-13
182,2.930988785010413e-14
183,2.1316282072803006e-14
184,2.34035013590983e-13
185,7.549516567451064e-15
186,1.5382140006181544e-13
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,3.985700658404312e-14
246,2.0250467969162855e-13
247,2.5979218776228663e-14
248,8.881784197001252e-16
249,5.5067062021407764e-14
250,1.0658141036401503e-13
251,7.993605777301127e-15
252,2.6645352591003757e-14
253,3.6415315207705135e-14
254,2.3359092438113294e-13
255,2.424727085781342e-13
256,1.2678746941219288e-13
257,1.284528039491306e-13
258,4.107825191113079e-15
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,6.158962229108056e-14
270,3.06588088250237e-13
271,1.7319479184152442e-14
272,2.5757174171303632e-14
273,6.683542608243442e-14
274,1.7763568394002505e-15
275,1.2434497875801753e-13
276,8.881784197001252e-16
277,2.7977620220553945e-14
278,4.5075054799781356e-14
279,2.6423307986078726e-14
280,4.107825191113079e-15
281,7.494005416219807e-15
282,2.5729418595688003e-14
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,2.0039525594484076e-14
294,5.950795411990839e-14
295,1.5987211554602254e-14
296,5.684341886080802e-14
297,2.220446049250313e-14
298,1.5987211554602254e-13
299,1.438849039914203e-13
300,2.149391775674303e-13
301,1.1546319456101628e-14
302,9.85878045867139e-14
303,2.1316282072803006e-14
304,2.220446049250313e-15
305,6.572520305780927e-14
306,7.382983113757291e-15
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,4.621303340002214e-15
318,8.409939411535561e-15
319,1.475486399726833e-13
320,8.104628079763643e-15
321,2.7755575615628914e-14
322,1.9539925233402755e-14
323,5.10702591327572e-14
324,4.884981308350689e-15
325,3.175237850427948e-14
326,1.8118839761882555e-13
327,8.992806499463768e-15
328,6.444844657949034e-14
329,4.246603069191224e-14
330,8.451572774959004e-15
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,31.948999035396973
337,49.99999865797299
338,49.999998722333025
339,17.03682475000162
340,15.927759449998717
341,46.24457776543593
342,33.599230375739566
343,27.134051900560927
344,26.737020515015963
345,49.999961886938884
346,23.4219058260328
347,31.675213474492786
348,29.59928146442315
349,28.47394270391822
350,34.98480012958301
351,35.44426064659183
352,31.31591859942937
353,49.99985685442379
354,49.99995353646252
355,49.999999845858845
356,35.69732425016102
357,43.21452785000559
358,37.39968874999849
359,49.999990841778484
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,2.4957224010232393e-13
385,0.9339818956154696
386,0.006629322502803581
387,3.215310142119829e-14
388,9.622682907073488e-14
389,2.721419344763392e-13
390,3.7249795821853154e-13
391,1.451342335911362e-14
392,1.7759775147301908e-13
393,0.7949434758505168
394,7.448392172370203e-13
395,2.746621903945301e-14
396,1.9810478381685542e-14
397,3.464431769987989e-13
398,2.2801086602358487e-14
